Year,RMS dB,Start Time
2019 (Pre-Covid),100.9,3:15
2019 (Pre-Covid),100.9,3:25
2019 (Pre-Covid),101.2,3:35
2019 (Pre-Covid),101.1,3:45
2019 (Pre-Covid),100.6,3:55
2019 (Pre-Covid),100.7,4:05
2019 (Pre-Covid),100.3,4:15
2019 (Pre-Covid),100,4:25
2019 (Pre-Covid),100.3,4:35
2019 (Pre-Covid),100.3,4:45
2019 (Pre-Covid),100.2,4:55
2019 (Pre-Covid),100.2,5:05
2019 (Pre-Covid),100.3,5:15
2019 (Pre-Covid),100.8,5:25
2019 (Pre-Covid),100.3,5:35
2019 (Pre-Covid),103.3,5:45
2019 (Pre-Covid),114.3,5:55
2019 (Pre-Covid),101,6:05
2019 (Pre-Covid),101,6:15
2019 (Pre-Covid),100.6,6:25
2019 (Pre-Covid),100.8,6:35
2019 (Pre-Covid),103.6,6:45
2019 (Pre-Covid),100.5,6:55
2019 (Pre-Covid),101.1,7:05
2019 (Pre-Covid),115.5,7:15
2019 (Pre-Covid),114.4,7:25
2019 (Pre-Covid),127.7,7:35
2019 (Pre-Covid),101,7:45
2019 (Pre-Covid),114.3,7:55
2019 (Pre-Covid),100.6,8:05
2019 (Pre-Covid),100.2,8:15
2019 (Pre-Covid),100.6,8:25
2019 (Pre-Covid),100.9,8:35
2019 (Pre-Covid),104.2,8:45
2019 (Pre-Covid),100.6,8:55
2019 (Pre-Covid),105,9:05
2019 (Pre-Covid),100.7,9:15
2019 (Pre-Covid),101.9,9:25
2019 (Pre-Covid),103,9:35
2019 (Pre-Covid),103.8,9:45
2019 (Pre-Covid),105.4,9:55
2019 (Pre-Covid),100.3,10:05
2019 (Pre-Covid),114.3,10:15
2019 (Pre-Covid),102.6,10:25
2019 (Pre-Covid),105,10:35
2019 (Pre-Covid),111.7,10:45
2019 (Pre-Covid),99.1,10:55
2019 (Pre-Covid),99.3,11:05
2019 (Pre-Covid),108.2,11:15
2019 (Pre-Covid),98.7,11:25
2019 (Pre-Covid),106.4,11:35
2019 (Pre-Covid),117.2,11:45
2019 (Pre-Covid),100,11:55
2019 (Pre-Covid),99.2,12:05
2019 (Pre-Covid),112.5,12:15
2019 (Pre-Covid),100.1,12:25
2019 (Pre-Covid),99.2,12:35
2019 (Pre-Covid),107.9,12:45
2019 (Pre-Covid),114.3,12:55
2019 (Pre-Covid),100,13:05
2019 (Pre-Covid),103.2,13:15
2019 (Pre-Covid),105.9,13:25
2019 (Pre-Covid),114.2,13:35
2019 (Pre-Covid),114.2,13:45
2019 (Pre-Covid),99.1,13:55
2019 (Pre-Covid),116.1,14:05
2019 (Pre-Covid),102.9,14:15
2019 (Pre-Covid),100.5,14:25
2019 (Pre-Covid),100.5,14:35
2019 (Pre-Covid),101,14:45
2019 (Pre-Covid),101.6,14:55
2019 (Pre-Covid),99.8,15:05
2019 (Pre-Covid),98.5,15:15
2019 (Pre-Covid),114.4,15:25
2019 (Pre-Covid),108.9,15:35
2019 (Pre-Covid),115.4,15:45
2019 (Pre-Covid),123,15:55
2019 (Pre-Covid),112.1,16:05
2019 (Pre-Covid),104.3,16:15
2019 (Pre-Covid),127.7,16:25
2019 (Pre-Covid),99.8,16:35
2019 (Pre-Covid),103.9,16:45
2019 (Pre-Covid),109,16:55
2019 (Pre-Covid),99.4,17:05
2019 (Pre-Covid),99.7,17:15
2019 (Pre-Covid),103.1,17:25
2019 (Pre-Covid),114.3,17:35
2019 (Pre-Covid),115.3,17:45
2019 (Pre-Covid),127.6,17:55
2019 (Pre-Covid),113,18:05
2019 (Pre-Covid),115.1,18:15
2019 (Pre-Covid),99.7,18:25
2019 (Pre-Covid),103.8,18:35
2019 (Pre-Covid),106.7,18:45
2019 (Pre-Covid),116.5,18:55
2019 (Pre-Covid),102.3,19:05
2019 (Pre-Covid),105.4,19:15
2019 (Pre-Covid),101.7,19:25
2019 (Pre-Covid),101.6,19:35
2019 (Pre-Covid),111.5,19:45
2019 (Pre-Covid),101.2,19:55
2019 (Pre-Covid),108.4,20:05
2019 (Pre-Covid),101.6,20:15
2019 (Pre-Covid),113.1,20:25
2019 (Pre-Covid),107.7,20:35
2019 (Pre-Covid),101.8,20:45
2019 (Pre-Covid),102.3,20:55
2019 (Pre-Covid),104,21:05
2019 (Pre-Covid),101.7,21:15
2019 (Pre-Covid),101.5,21:25
2019 (Pre-Covid),102,21:35
2019 (Pre-Covid),101.4,21:45
2019 (Pre-Covid),114.8,21:55
2019 (Pre-Covid),108.6,22:05
2019 (Pre-Covid),109,22:15
2019 (Pre-Covid),106.5,22:25
2019 (Pre-Covid),108.4,22:35
2019 (Pre-Covid),110.4,22:45
2019 (Pre-Covid),106.6,22:55
2019 (Pre-Covid),107.6,23:05
2019 (Pre-Covid),106.5,23:15
2019 (Pre-Covid),106.4,23:25
2019 (Pre-Covid),105.9,23:35
2019 (Pre-Covid),107.3,23:45
2019 (Pre-Covid),105.4,23:55
2019 (Pre-Covid),103.2,0:05
2019 (Pre-Covid),101.7,0:15
2019 (Pre-Covid),101.1,0:25
2019 (Pre-Covid),100.8,0:35
2019 (Pre-Covid),100.7,0:45
2019 (Pre-Covid),100.4,0:55
2019 (Pre-Covid),100.6,1:05
2019 (Pre-Covid),101.2,1:15
2019 (Pre-Covid),100.7,1:25
2019 (Pre-Covid),127.6,1:35
2019 (Pre-Covid),103.4,1:45
2019 (Pre-Covid),100.8,1:55
2019 (Pre-Covid),100.8,2:05
2019 (Pre-Covid),100.9,2:15
2019 (Pre-Covid),101.1,2:25
2019 (Pre-Covid),103.3,2:35
2019 (Pre-Covid),100.7,2:45
2019 (Pre-Covid),100.6,2:55
2019 (Pre-Covid),100.8,3:05
2019 (Pre-Covid),102.6,3:15
2019 (Pre-Covid),101.1,3:25
2019 (Pre-Covid),100.7,3:35
2019 (Pre-Covid),100.5,3:45
2019 (Pre-Covid),127.6,3:55
2019 (Pre-Covid),100.5,4:05
2019 (Pre-Covid),100.7,4:15
2019 (Pre-Covid),100.8,4:25
2019 (Pre-Covid),104.4,4:35
2019 (Pre-Covid),100.6,4:45
2019 (Pre-Covid),100.5,4:55
2019 (Pre-Covid),100.4,5:05
2019 (Pre-Covid),100.7,5:15
2019 (Pre-Covid),100.6,5:25
